City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
1164,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1165,Bengkulu,ID,-3.8004,102.2655,75.52,91,100,6.8,overcast clouds
1166,Torbay,CA,47.6666,-52.7314,64.27,76,91,1.99,overcast clouds
1167,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,broken clouds
1168,Lebu,CL,-37.6167,-73.65,51.31,92,100,32.79,overcast clouds
1169,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,broken clouds
1170,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1171,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,fog
1172,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1173,Busselton,AU,-33.65,115.3333,53.1,73,80,16.49,broken clouds
1174,Upata,VE,8.0086,-62.3989,83.19,65,42,5.26,scattered clouds
1175,Funadhoo,MV,6.15,73.2667,82.33,76,98,12.26,overcast clouds
1176,Tasiilaq,GL,65.6145,-37.6368,50.16,94,100,7.23,overcast clouds
1177,Bellevue,US,47.6104,-122.2007,59.81,87,90,1.01,overcast clouds
1178,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1179,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
1180,Khatanga,RU,71.9667,102.5,44.24,85,100,5.99,overcast clouds
1181,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1182,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1183,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1184,Turukhansk,RU,65.8167,87.9833,53.11,66,100,7.54,overcast clouds
1185,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.91,broken clouds
1186,Kapaa,US,22.0752,-159.319,75.52,81,90,9.22,light rain
1187,Madimba,TZ,-10.4,40.3333,79.07,73,0,10.58,clear sky
1188,Fort Nelson,CA,58.8053,-122.7002,49.78,80,94,5.93,overcast clouds
1189,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,9.22,few clouds
1190,Bacolod,PH,10.6667,122.95,78.67,84,83,5.1,light rain
1191,Hwange,ZW,-18.3693,26.5019,86.16,18,0,7.74,clear sky
1192,Najran,SA,17.4924,44.1277,92.19,18,100,18.86,overcast clouds
1193,Avarua,CK,-21.2078,-159.775,69.85,94,100,3.44,overcast clouds
1194,Upernavik,GL,72.7868,-56.1549,40.95,86,89,10.94,overcast clouds
1195,Khandyga,RU,62.6667,135.6,61.45,97,61,4.0,light rain
1196,Orbetello,IT,42.4408,11.2196,91.62,58,0,12.33,clear sky
1197,Hailar,CN,49.2,119.7,57.58,64,1,5.73,clear sky
1198,Sao Filipe,CV,14.8961,-24.4956,81.27,77,75,5.44,broken clouds
1199,Los Alamos,US,35.8881,-106.307,71.56,40,1,1.01,clear sky
1200,Roccastrada,IT,43.0099,11.1665,86.59,31,12,10.42,few clouds
1201,Juye,CN,35.3947,116.0883,75.49,86,100,5.17,light rain
1202,Chengdu,CN,30.6667,104.0667,77.94,91,100,5.21,overcast clouds
