City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
1036,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
1044,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1046,Asau,RO,79.39,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
1048,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1053,Xiongzhou,CN,79.27,broken clouds,25.1167,114.3,Xinhewan Business Hotel
1054,Alyangula,AU,72.7,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
1056,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1063,Mayumba,GA,75.65,scattered clouds,-3.432,10.6554,LIKWALE LODGE
1069,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
1091,Matara,LK,79.14,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
1093,Dingle,PH,77.52,light rain,10.9995,122.6711,SEGAYA PROPERTY
1101,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
1102,Richards Bay,ZA,71.04,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
1103,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
1109,Lakatoro,VU,74.88,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
1117,Bandarbeyla,SO,78.04,few clouds,9.4942,50.8122,JABIR HOTEL
1122,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1131,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1135,Ntungamo,UG,75.47,light rain,-0.8833,29.65,The Crested Crane Bwindi Hotel
1139,Tezu,IN,76.39,overcast clouds,27.9167,96.1667,Circuit House
1144,Namatanai,PG,79.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
1147,Lagoa,PT,73.08,clear sky,39.05,-27.9833,Casa Das Faias
1160,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1163,Castro,BR,78.69,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1165,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1186,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1189,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
1190,Bacolod,PH,78.67,light rain,10.6667,122.95,Planta Hotel & Residences
1199,Los Alamos,US,71.56,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
1201,Juye,CN,75.49,light rain,35.3947,116.0883,Thank Inn Chain Hotel shandong heze juye county shanghai jiayuan
1202,Chengdu,CN,77.94,overcast clouds,30.6667,104.0667,Crowne Plaza Chengdu City Center
1204,Svalyava,UA,75.47,few clouds,48.5485,22.9958,"Отельно-ресторанный комплекс ""Затышок"""
1205,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1219,Castro,BR,78.69,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1228,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1235,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1238,Ryotsu,JP,77.61,light rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
1239,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1240,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1242,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
1246,Yamada,JP,71.87,overcast clouds,39.4667,141.95,Iroha-ya Inn
1256,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
1275,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1278,Erenhot,CN,70.72,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
1281,Faya,SA,73.92,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
1282,Prachuap Khiri Khan,TH,75.29,broken clouds,12.2167,99.75,สมบัติยาย
1283,Castro,BR,78.69,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1291,Lingig,PH,77.56,overcast clouds,8.0389,126.4125,BREXIE INN
1292,Phayao,TH,73.26,broken clouds,19.25,100.25,chuthagarden
1298,Anloga,GH,75.24,light rain,5.7947,0.8973,Pin Drop Hotel
1300,Concarneau,FR,70.05,few clouds,47.875,-3.9225,Brit Hotel de L' Océan
1303,Ilheus,BR,79.03,clear sky,-14.7889,-39.0494,Barravento Hotel
1307,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1308,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
